,datadate,tic,adjcp,open,high,low,volume,neutral,positive,negative,macd,rsi,cci,adx,turbulence
609,20160912,ETH,11.89369965,11.64299965,11.94699955,11.61359978,7478080,96.48649073907292,1.740855040991096,0.7726542839718054,0.11401653713824622,51.221111410789895,91.71486821328612,9.104771010812886,1.2471882936328769
610,20160913,BTC,609.2410278,608.0250244,611.1929932,606.9249877999998,86920600,91.84148373143398,4.1225962018945985,0.03592039715043427,6.777616797640121,51.87820803811518,82.61406717783592,8.671746139635953,1.2587629935401923
611,20160913,ETH,11.91870022,11.88869953,12.085599900000002,11.88080025,11704300,91.84148373143398,4.1225962018945985,0.03592039715043427,0.12411279737436409,51.336763758610786,110.43265984445905,13.06516123650961,1.2587629935401923
612,20160914,BTC,610.684021,608.8410034,611.9520263999998,608.4099731000001,47877700,93.31391847133636,0.6833929238993424,0.002688902840020546,6.5640943872156186,52.19491726755684,80.42499868456166,9.531950315349928,1.279839144749084
613,20160914,ETH,11.92319965,11.90460014,11.99720001,11.85589981,5694820,93.31391847133636,0.6833929238993424,0.002688902840020546,0.13096751080861857,51.35823527523629,95.58471089658718,12.126922874594952,1.279839144749084
614,20160915,BTC,607.1550292999998,610.5880127,611.0859985000002,607.1550292999998,59464600,96.22021090984344,0.7748098416374027,0.0049791270117971465,6.040485247582751,51.34007684176448,66.9182034670202,7.738479007362672,1.1978517931457977
615,20160915,ETH,11.93700027,11.94309998,12.13539982,11.92269993,7309090,96.22021090984344,0.7748098416374027,0.0049791270117971465,0.13594640970081961,51.42623823691297,101.41922766595563,16.25010728907644,1.1978517931457977
616,20160916,BTC,606.9730225,607.2459717,609.2609863,606.7349853999998,64963400,93.31110928952694,1.6741861857750848,0.014703784149347143,5.546893666986648,51.29525452901968,58.87565472269368,7.110967555930251,1.2238450801524081
617,20160916,ETH,12.55580044,11.95960045,12.74860001,11.90289974,17421500,93.31110928952694,1.6741861857750848,0.014703784149347143,0.18766098609908255,54.38430444133949,162.55372351195297,31.49595771501955,1.2238450801524081
618,20160917,BTC,605.9840088,607.2180176,607.8599853999998,605.1920166,37140300,92.67732173204422,1.3143091333944206,0.008369421980297886,5.018068473451535,51.04474357323485,49.68117691637503,4.716051844223786,1.216791327904956
