Date,technical_indicator,daily_return_ti,technical_indicator+sentiment_score,daily_return_ti+ss
2019-06-29,1711938.303582676,0.003370535343450776,1997195.6106646631,0.0008678565860793519
2019-06-30,1734471.548772676,0.013162416626138596,2003348.8112264397,0.003080920330947867
2019-07-01,1834347.953573115,0.057583190033363214,2039421.815819895,0.018006352359263733
2019-07-02,1883196.2577795163,0.026629791862143648,2058824.473977292,0.009513803376471452
2019-07-03,1878062.2427609826,-0.0027262240976345664,2056021.8481135638,-0.0013612747949872661
2019-07-04,1874711.051419141,-0.001784387793726694,2054037.683820264,-0.0009650501988198723
2019-07-05,1835431.7837394772,-0.020952171615956198,2031341.679253276,-0.01104945870553653
2019-07-06,1863071.0705501118,0.015058738251945591,2049900.5177204087,0.009136246578643092
2019-07-07,1849533.6289018958,-0.007266197120552542,2040879.507639664,-0.004400706279530375
2019-07-08,1831669.7383464617,-0.0096585919154335,2026942.5542435925,-0.006828895750043529
2019-07-09,1792789.1038662246,-0.021226880406582715,1996115.2774983656,-0.01520875699248958
2019-07-10,1803487.986433134,0.005967730696174289,2005333.7652789184,0.004618214130451381
2019-07-11,1844293.6871716809,0.022625989773988442,2042369.994239512,0.018468860197665027
2019-07-12,1835555.3799183343,-0.004738023729152996,2033837.0403953856,-0.004177966709358993
2019-07-13,1835115.090457772,-0.00023986716248358686,2033322.2839203912,-0.000253096223920779
2019-07-14,1833293.3437295388,-0.0009927152458751862,2031253.7317426938,-0.0010173262714207043
2019-07-15,1820793.9272263616,-0.006818012265156104,2017291.4528652332,-0.006873724665348302
2019-07-16,1814533.3382845558,-0.0034383841291379946,2010329.2565052332,-0.0034512595342190977
2019-07-17,1806950.4762619287,-0.004178959880558608,2001896.6034652332,-0.004194662646784253
2019-07-18,1818964.7181441344,0.006648904903614028,2015257.2492252332,0.00667399392000223
2019-07-19,1804023.5027376376,-0.008214131509786005,1998641.6118652327,-0.008244921270665784
2019-07-20,1775484.598790732,-0.015819585445310036,1966904.429465233,-0.01587937637822967
2019-07-21,1784416.0178065829,0.005030411991145289,1976836.768665233,0.00504973147205745
2019-07-22,1724303.2938080754,-0.03368761734855896,1909987.3728492332,-0.033816345828662775
2019-07-23,1531248.811508895,-0.1119608615215396,1692670.9347972334,-0.11377899201910269
2019-07-24,1507567.2211936011,-0.01546554037286596,1666490.537617233,-0.015466914827799383
2019-07-25,1442390.2810536432,-0.043233190018787226,1594357.5584332338,-0.04328436169048755
2019-07-26,1465922.8433192929,0.016314975617042867,1620401.6442772332,0.016335160018680295
2019-07-27,1464872.5749085834,-0.0007164554502276933,1619239.2854852336,-0.0007173275811614976
2019-07-28,1439990.2704643416,-0.016985985587036234,1591460.3076012337,-0.017155573072497154
2019-07-29,1473636.3697117,0.02336550457143627,1628592.1770670975,0.023331948204119435
2019-07-30,1482404.826220197,0.005950217223678056,1638264.884203491,0.00593930590641345
2019-07-31,1490958.0338371666,0.005769819057307446,1648007.2895743654,0.005946782760720026
2019-08-01,1467417.8582001391,-0.01578862389335256,1621960.3747080874,-0.015805096877335556
2019-08-02,1458215.063652741,-0.006271420574563424,1611378.5588546363,-0.0065240902419428926
2019-08-03,1448508.4346344974,-0.006656514021963989,1600721.1815043332,-0.006613825963948772
2019-08-04,1419580.454519899,-0.019970874468465016,1568743.4829758857,-0.019977057152698707
2019-08-05,1465177.314605532,0.032119954836271385,1619147.3701427728,0.03213010139253081
2019-08-06,1462195.0249525963,-0.0020354462379447162,1615850.6740351191,-0.002036069210527125
2019-08-07,1527182.2790689194,0.044444997423261016,1687689.178213109,0.044458628097480135
2019-08-08,1525544.098168707,-0.001072681972980383,1685875.1118512924,-0.0010748817882078043
2019-08-09,1478705.9651076219,-0.030702575636660127,1634051.9551724037,-0.030739617848667744
2019-08-10,1481322.455537644,0.0017694460506432195,1636949.0453804866,0.0017729486500797087
2019-08-11,1478573.189184138,-0.0018559540113823878,1633904.9399861903,-0.0018596213503938586
2019-08-12,1487444.299563704,0.005999777653523442,1644413.9225706502,0.00643182006937848
2019-08-13,1457424.0863790428,-0.02018241166641788,1611266.9855722561,-0.020157295279145226
2019-08-14,1429516.4242882475,-0.01914862142846263,1580366.4274635615,-0.019177801311258125
2019-08-15,1439485.6044570017,0.006973812961762693,1591404.730496557,0.006984647889990647
2019-08-16,1416376.2257104863,-0.016053914450386286,1565817.0371065019,-0.01607868375637611
2019-08-17,1419090.7439931529,0.0019165234726421512,1568822.6679493058,0.0019195287645854542
2019-08-18,1458867.1766578169,0.028029520193146862,1614538.0681308056,0.02913994112620566
2019-08-19,1462638.8903363028,0.0025853715395303123,1618775.059050979,0.002624274400094384
2019-08-20,1433416.7514017888,-0.019979052333139458,1586371.9075222032,-0.02001708103148847
2019-08-21,1336693.6787624757,-0.06747728638215245,1476050.3075415988,-0.06954333940073276
2019-08-22,1332887.1602617255,-0.002847711903803063,1471903.2913679888,-0.002809535794560447
2019-08-23,1531341.216475755,0.14889036531424082,1700406.451386749,0.1552433243126925
2019-08-24,1634163.1907602572,0.0671450446041919,1814788.3386338027,0.06726738019240686
2019-08-25,1688172.0399307169,0.033049850514215384,1874838.8644223118,0.03308954797104091
2019-08-26,1636131.0045457524,-0.030826855411667745,1816976.28105968,-0.030862696768589104
